Name,Project,Description,Flowsheet module,Unit models,Unit model repositories,"Inherited model (name, unit model)",Inherited model repository,Control volumes,Control volume repositories,Property packages,Property package repositories,Reaction packages,Reaction package repositories,Configurations,Specifications for operating conditions,Mandatory config options
Bio Active Filtration (ZO),WaterTAP,,,BioActiveFiltrationZO,watertap/unit_models/zero_order/bio_active_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Bioreactor (ZO),WaterTAP,,,BioreactorZO,watertap/unit_models/zero_order/bioreactor_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Blending Reservoir (ZO),WaterTAP,,,BlendingReservoirZO,watertap/unit_models/zero_order/blending_reservoir_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Boron Removal,WaterTAP,,,BoronRemoval,watertap/unit_models/boron_removal.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
is_isothermal
chemical_mapping_data","Inlet feed state variables (i.e., temperature, pressure, component molar flowrates), caustic chemical dose rate, reactor volume.",
Brine Concentrator (ZO),WaterTAP,,,BrineConcentratorZO,watertap/unit_models/zero_order/brine_concentrator_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Bubble and dew points,IDAES,Modular methods for calculating bubble and dew points.,,,,,,,,,idaes/models/properties/modular_properties/phase_equil/bubble_dew.py,,,,,
Buffer Tank (ZO),WaterTAP,,,BufferTankZO,watertap/unit_models/zero_order/buffer_tank_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
CANDO-P (ZO),WaterTAP,,,CANDOP,watertap/unit_models/zero_order/CANDOP_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Cartridge Filtration (ZO),WaterTAP,,,CartridgeFiltrationZO,watertap/unit_models/zero_order/cartridge_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Centrifuge (ZO),WaterTAP,,,CentrifugeZO,watertap/unit_models/zero_order/centrifuge_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Chemical Addition (ZO),WaterTAP,,,ChemicalAdditionZO,watertap/unit_models/zero_order/chemical_addition_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Chlorination (ZO),WaterTAP,,,ChlorinationZO,watertap/unit_models/zero_order/chlorination_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Clarifier,WaterTAP,,,Clarifier,watertap/unit_models/clarifier.py,"Separator, Separator",idaes/models/unit_models/separator.py,,,ASM1ParameterBlock (Liq phase),watertap/property_models/unit_specific/activated_sludge/asm1_properties.py,,,"outlet_list
num_outlets (not used if outlet_list arg is provided)
split_basis
material_balance_type
momentum_balance_type
has_phase_equilibrium
energy_split_basis
ideal_separation
ideal_split_map
mixed_state_block
construct_ports","Inlet feed state variables (temperature, pressure, component flowrates), alkalinity, split fraction, surface area.
Degrees of freedom based on the separation type chosen:
split_basis = ‘componentFlow’, DOF = (#outlets - 1) * #components
split_basis = ‘phaseFlow’, DOF = (#outlets - 1) * #phases
split_basis = ‘phaseComponentFlow’ or split_basis = ‘totalFlow’, DOF = (#outlets - 1) * #components * #phases",
Clarifier (ZO),WaterTAP,,,ClarifierZO,watertap/unit_models/zero_order/clarifier_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Cloth Media Filtration (ZO),WaterTAP,,,ClothMediaFiltration,watertap/unit_models/zero_order/cloth_media_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
CO2 Addition (ZO),WaterTAP,,,CO2AdditionZO,watertap/unit_models/zero_order/co2_addition_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
"CO2-bmimPF6 phase equilibrium, Peng-Robinson",IDAES,CO2-bmimPF6 phase equilibrium package using ideal liquid and vapor.,,,,,,,,,idaes/models/properties/modular_properties/examples/CO2_bmimPF6_PR.py,,,,,
"CO2-H2O VLE, ideal",IDAES,"Property package for MEA Carbon Capture System Condenser. CO2-H2O VLE system, ideal VLE with non-condensables.",,,,,,,,,idaes/models/properties/modular_properties/examples/CO2_H2O_Ideal_VLE.py,,,,,
Coagulation Flocculation (ZO),WaterTAP,,,CoagulationFlocculationZO,watertap/unit_models/zero_order/coag_and_floc_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Coagulation-Flocculation,WaterTAP,,,CoagulationFlocculation,watertap/unit_models/coag_floc_model.py,,,,,"NaClParameterBlock
SeawaterParameterBlock
(Liq phase)","watertap/property_models/NaCl_prop_pack.py
watertap/property_models/seawater_prop_pack.py",,,"material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type
chemical_additives","Inlet feed state variables (i.e., temperature, pressure, component mass flowrates), slope relationship between measured Turbidity and TSS, intercept relationship between measured Turbidity and TSS, turbidity measured before Jar Test, turbidity measured after Jar Test, chemical doses added during Jar Test, retention time for each rapid mixer, number of rapid mixers in series, rapid mixer velocity gradient, retention time of flocculation basin, flocculation single paddle length (from center of rotation to blade edge), flocculation single paddle width, flocculation paddle rotational speed, flocculation paddle drag coefficient, flocculation paddle velocity fraction, number of rotating paddle wheels, number of paddles per wheel",
Cofermentation (ZO),WaterTAP,,,CofermentationZO,watertap/unit_models/zero_order/cofermentation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Complementarity-based vapor-liquid equilibrium formulation,IDAES,"A complementarity-based vapor-liquid equilibrium formulation for equation-oriented simulation
and optimization.",,,,,,,,,idaes/models/properties/modular_properties/phase_equil/smooth_VLE_2.py,,,,,
Compressor,IDAES,Isentropic compressor model.,,Compressor,idaes/models/unit_models/pressure_changer.py,,,,,,,,,,,
Constructed Wetlands (ZO),WaterTAP,,,ConstructedWetlandsZO,watertap/unit_models/zero_order/constructed_wetlands_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Continuous stirred-tank reactor,IDAES,Standard IDAES continuous stirred-tank model.,,CSTR,idaes/models/unit_models/cstr.py,,,,,SaponificationParameterBlock,idaes/models/properties/examples/saponification_thermo.py,SaponificationReactionParameterBlock,idaes/models/properties/examples/saponification_reactions.py,"material_balance_type
energy_balance_type
momentum_balance_type
has_heat_transfer
has_pressure_change
has_equilibrium_reactions
has_phase_equilibrium
has_heat_of_reaction
property_package
property_package_args
reaction_package
reaction_package_args","Inlet feed state variables (molar flowrate, component concentrations, temperature, pressure), heat duty, perssure drop",
Continuously Stirred Tank Reactor,WaterTAP,,,CSTR,watertap/unit_models/cstr.py,"CSTR, CSTR",idaes/models/unit_models/cstr.py,,,"SaponificationParameterBlock
ASM1ParameterBlock (Liq phase)","
idaes/models/properties/examples/saponification_thermo.py
watertap/property_models/unit_specific/activated_sludge/asm1_properties.py","SaponificationReactionParameterBlock;
ASM1ReactionParameterBlock","idaes/models/properties/examples/saponification_reactions.py;
watertap/property_models/unit_specific/activated_sludge/asm1_reactions.py","material_balance_type
energy_balance_type
momentum_balance_type
has_heat_transfer
has_pressure_change
has_equilibrium_reactions
has_phase_equilibrium
has_heat_of_reaction
reaction_package
reaction_package_args","Inlet feed state variables (i.e. temperature, pressure, component flowrates), volume or hydraulic retention time.",
Continuously Stirred Tank Reactor with Injection,WaterTAP,,,CSTR_Injection,watertap/unit_models/cstr_injection.py,,,,,"SaponificationParameterBlock
ASM1ParameterBlock
ASM2dParameterBlock
ModifiedASM2dParameterBlock
ADM1ParameterBlock","idaes/models/properties/examples/saponification_thermo.py
watertap/property_models/unit_specific/activated_sludge/asm1_properties.py
watertap/property_models/unit_specific/activated_sludge/asm2d_properties.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py
watertap/property_models/unit_specific/activated_sludge/adm1_properties.py","SaponificationReactionParameterBlock;
ASM1ReactionParameterBlock;
ASM2dReactionParameterBlock;
ModifiedASM2dReactionParameterBlock;
ADM1ReactionParameterBlock","idaes/models/properties/examples/saponification_reactions.py;
watertap/property_models/unit_specific/activated_sludge/asm1_reactions.py;
watertap/property_models/unit_specific/activated_sludge/asm2d_reactions.py;
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_reactions.py;
watertap/property_models/unit_specific/activated_sludge/adm1_reactions.py","material_balance_type
energy_balance_type
momentum_balance_type
has_heat_transfer
has_pressure_change
has_equilibrium_reactions
has_phase_equilibrium
has_heat_of_reaction
reaction_package
reaction_package_args
electricity_consumption
has_aeration","Inlet feed state variables (i.e. temperature, pressure, component flowrates), volume or hydraulic retention time, injection rates for all components, heat duty if heat transfer is included, change in pressure if pressure change is included. If aeration is included, the following degrees of freedom could replace the oxygen injection rate: lumped mass transfer coefficient for oxygen, dissolved oxygen concentration at equilibrium.",
Controller,IDAES,PID controller model.,,,"idaes/models/control
/controller.py",,,,,,,,,,,
Conventional Activated Sludge (ZO),WaterTAP,,,CASZO,watertap/unit_models/zero_order/conventional_activated_sludge_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Cooling Supply (ZO),WaterTAP,,,CoolingSupplyZO,watertap/unit_models/zero_order/cooling_supply_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Cooling Tower (ZO),WaterTAP,,,CoolingTowerZO,watertap/unit_models/zero_order/cooling_tower_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Coolprop,IDAES,"Module for constructing CoolProp expressions and methods for looking up and using CoolProp parameters
within the IDAES generic properties framework.",,,,,,,,,idaes/models/properties/modular_properties/coolprop,,,,,
Costing,IDAES,Costing package that includes methods for capital costing of unit operations. ,,,idaes/models/costing/SSLW.py,,,,,,,,,,,
Crusher,PrOMMiS,"The Crusher module includes power consumption for solid crushing. It is a function of particle size distribution, mass flow rate, and bond work index.",,Crusher,prommis/solid_handling/crusher,,,,,CoalRefuseParameters,prommis/solid_handling/crusher_solids_properties.py,,,,"Inlet mass flowrate and fractions, inlet particle size median and width, outlet particle size median and width",
Crystallizer (0D),WaterTAP,,,Crystallization,watertap/unit_models/crystallizer.py,,,,,"NaClParameterBlock
(solid-liquid-vapour mixtures)",watertap/property_models/NaCl_prop_pack.py,,,,"Inlet feed state variables (i.e. temperature, pressure, component flowrates), crystal growth rate, desired median length of solid crystals, parameter for Sounders-Brown relation, crystallization temperature. To fully specify the unit: crystallization yield, solids volumetric fraction of product slurry, magma density, solid outlet mass flow, vapour outlet mass flow",
Cubic Equations of State,IDAES,Generic module for PR and SRK cubic equations of state,,,,,,,,,idaes/models/properties/modular_properties/eos,,,,,
Decarbonator (ZO),WaterTAP,,,DecarbonatorZO,watertap/unit_models/zero_order/decarbonator_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Deep Well Injection (ZO),WaterTAP,,,DeepWellInjectionZO,watertap/unit_models/zero_order/deep_well_injection_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Demonstration flowsheet,IDAES,"Simple example of a flowsheet containing a Mixer, Heater and Flash unit in series.",idaes/models/flowsheets/demo_flowsheet.py,"Mixer
Heater
Flash",idaes/models/unit_models,,,,,BTX_activity_coeff_VLE,idaes/models/properties/activity_coeff_models/BTX_activity_coeff_VLE.py,,,,,
Dewatering Unit,WaterTAP,,,DewateringUnit,watertap/unit_models/dewatering.py,"Separator, Separator",idaes/models/unit_models/separator.py,,,"ASM1ParameterBlock
ASM2dParameterBlock
ModifiedASM2dParameterBlock
ADM1ParameterBlock
(Single Liq phase)","watertap/property_models/unit_specific/activated_sludge/asm1_properties.py
watertap/property_models/unit_specific/activated_sludge/asm2d_properties.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py
watertap/property_models/unit_specific/activated_sludge/adm1_properties.py",,,"activated_sludge_model
outlet_list
num_outlets (not used if outlet_list arg is provided)
split_basis
material_balance_type
momentum_balance_type
has_phase_equilibrium
energy_split_basis
ideal_separation
ideal_split_map
mixed_state_block
construct_ports","Inlet feed state variables (i.e. temperature, pressure, component mass compositions).",
Diafiltration,PrOMMiS,"Diafiltration cascade flowsheet case study example for separating lithium and cobalt. This flowsheet models a specific system from literature (cascade III in Figure 2 [1]) and serves as an example of implementing a custom cost model.

[1] https://pubs.acs.org/doi/full/10.1021/acssuschemeng.2c02862",prommis/nanofiltraion/diafiltration.py,MSContactor (3 units); Mixer (2 units),idaes/models/unit_models,,,,,LiCoParameters,prommis/nanofiltration/diafiltration_properties,,,,Diafiltrate feed (Mixer 2) flowrate and concentrations; Stage 3 feed florate and concentrations, Stage 3 feed florate and concentrations
Dissolved Air Flotation (ZO),WaterTAP,,,DissolvedAirFlotationZO,watertap/unit_models/zero_order/dissolved_air_flotation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Dual Media Filtration (ZO),WaterTAP,,,DualMediaFiltrationZO,watertap/unit_models/zero_order/dual_media_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Electrochemical Nutrient Removal (ZO),WaterTAP,,,ElectrocoagulationZO,watertap/unit_models/zero_order/electrocoagulation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Electrocoagulation (ZO),WaterTAP,,,ElectrodialysisReversalZO,watertap/unit_models/zero_order/electrodialysis_reversal_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric
electrode_material
reactor_material
overpotential_calculation",,
Electrodialysis (0D),WaterTAP,,,Electrodialysis0D,watertap/unit_models/electrodialysis_0D.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"has_pressure_change
pressure_drop_method
friction_factor_method
hydraulic_diameter_method
operation_mode
limiting_current_density_method
limiting_current_density_data
has_nonohmic_potential_membrane
has_Nernst_diffusion_layer
material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type","Inlet feed state variables (i.e. temperature, pressure, component molar flowrates). Water transport number, water permeability, voltage or current, electrode areal resistance, cell pair number, current utilization coefficient, spacer thickness, membrane areal resistance, cell width, cell length, thickness of ion exchange membranes, diffusivity of solute in the membrane phase, transport number of ions in the membrane phase.",
Electrodialysis (1D),WaterTAP,,,Electrodialysis1D,watertap/unit_models/electrodialysis_1D.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"has_pressure_change
pressure_drop_method
friction_factor_method
hydraulic_diameter_method
operation_mode
limiting_current_density_method
limiting_current_density_datahas_nonohmic_potential_membrane
has_Nernst_diffusion_layer
material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type
transformation_method
transformation_scheme
finite_elements
collocation_points","Inlet feed state variables (i.e. temperature, pressure, component molar flowrates). Water transport number, water permeability, voltage or current, electrode areal resistance, cell pair number, current utilization coefficient, channel height (spacer thickness), membrane areal resistance at infinitive ion concentration, membrane areal resistance coefficient to the reciprocal of the ion concentration, spacer conductivity coefficient, cell width, cell length, thickness of ion exchange membranes, diffusivity of solute in the membrane phase, transport number of ions in the membrane phase.",
Electrodialysis Reversal (ZO),WaterTAP,,,ElectroNPZO,watertap/unit_models/zero_order/electrochemical_nutrient_removal_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Electrodialysis w/ bipolar membranes (1D),WaterTAP,,,Electrodialysis_Bipolar_1D,watertap/unit_models/electrodialysis_bipolar_1D.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"has_pressure_change
pressure_drop_method
friction_factor_method
hydraulic_diameter_method
operation_mode
limiting_current_density_method_bpm
salt_calculation
limiting_current_density_data_bpm
salt_input_cem
salt_input_aem
limiting_potential_data
material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type
transformation_method
transformation_scheme
finite_elements
terms_fE
collocation_points","Inlet feed state variables (i.e. temperature, pressure, component molar flowrates). Water transport number, water permeability, dissociation rate constant at no electric field, relative permittivity, catalyst - CEL of the bipolar membrane, catalyst - AEL of the bipolar membrane, equilibrium constant of proton disassociation, equilibrium constant of hydroxide disassociation, ion transference number in the membrane phase, diffusivity of solute in the membrane phase, fixed salt concentration on the base and acid channel of the bipolar membrane (if no salt calculation), spacer porosity, shadow factor,  electrode areal resistance, current utilization coefficient, channel height, cell width and length, constant areal resistance of membrane at infinity-approximated electrolyte concentration, membrane areal resistance coefficient to the reciprocal of the ion concentration, thickness of ion exchange membranes, cell triplet number, spacer conductivity coefficient, potential drop across the bipolar membrane, specific area of the channel (if hydraulic diameter method is set for spacer-filled channel requiring the spacer specific area data), membrane fixed charge, voltage or current applied (for constant voltage or constant current electrical operation mode).",
Electrolyzer,WaterTAP,,,Electrolyzer,watertap/unit_models/electrolyzer.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type","Inlet state variables (i.e., temperature, pressure, component flowrates), membrane current density, anode current density, anode overpotential, cathode current density, cathode overpotential, current, current efficiency, resistance. The electrolysis reactions at the anode and cathode must be specified for their stoichiometry and electrochemical potential.",
ElectroNP (ZO),WaterTAP,,,ElectroNPZO,watertap/unit_models/electroNP_ZO.py,"Separator, Separator",idaes/models/unit_models/separator.py,,,ModifiedASM2dParameterBlock (Liq phase),watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py,,,"outlet_list
num_outlets (not used if outlet_list arg is provided)
split_basis
material_balance_type
momentum_balance_type
has_phase_equilibrium
energy_split_basis
ideal_separation
ideal_split_map
mixed_state_block
construct_ports","Inlet state variables (i.e., temperature, pressure, volumetric flowrate), electricity intensity, dosage of magnesium chloride per phosphorus removal, inlet solute concentration.",
